Cislo,C15,1;nazev,C50,2;PCA,N11/3,3$
A71-2323-2325-L;Sedací souprava GENOVA;10703.000;
A71-2323-VP;Sedačka rozkl., úložný prostor     /2ks/;10703.000;
A71-2324-2325VL;Sedací souprava GENOVA;10703.000;
A71-2325-2322-P;Sedací souprava GENOVA;10703.000;
A71-2325-2323-P;Sedací souprava GENOVA;10703.000;
A71-2326-2082-L;Sedačka rozkl., úložný prostor     /2ks/;10703.000;
A71-2326-2326-L;Sedačka rozkl., úložný prostor,2ks;10703.000;
A71-244-1341-L;AKCE-Sedačka rozkl.,úložný prostor/2ks/;9730.000;
A71-4084C-VL;Sedačka rozkl., úložný prostor     /2ks/;10703.000;
A71-4089C-VL;Sedačka rozkl., úložný prostor     /2ks/;10703.000;
A71-718C-VP;Sedací souprava GENOVA;10703.000;
A71-723-724-VL;Sedačka rozkl., úložný prostor     /2ks/;10703.000;
A71-723-VP;Sedací souprava GENOVA;10703.000;
A71-725-723-VP;Sedací souprava GENOVA;10703.000;
A71-731-731-VL;Sedací souprava GENOVA;10703.000;
Z137-DS-1307;Židle FIONA;1474.500;
R17-M-2307;Křeslo pohupovací;1627.500;
P017-1308-P;Pohovka TIVOLI;7362.000;
R18-P-2057;Křeslo;2572.500;
A120-1307-P;Křeslo LAILA;3329.000;
R43-H-4082C;Křeslo polohovací,kostra pohup.oblá;2572.790;
D07-BB;Botník;1499.400;
A40-134;Taburet čtverec s úlož. prostor.;1003.000;
A40-1341-DS;Taburet univerzální;1003.000;
A40-135;Taburet univerzální;1003.000;
A40-136;Taburet univerzální;1003.000;
A40-136-133-M;Taburet univerzální;1003.000;
A40-136-136;Taburet univerzální;1003.000;
A40-136-H;Taburet univerzální;1003.000;
A40-136-P;Taburet univerzální;1003.000;
A40-136-S;Taburet univerzální;1003.000;
A40-137-H;Taburet univerzální nožky tmavě hnědé;1003.000;
A40-139;Taburet univerzální;1003.000;
A40-2053;Taburet univerzální;1003.000;
A40-2053-1300;Taburet univerzální;1003.000;
A40-2054;Taburet univerzální;1003.000;
A40-2056-1308;Taburet univerzální;1003.000;
A40-2058;Taburet univerzální;1003.000;
A40-2059-139;Taburet čtverec s úlož. prostor.;1003.000;
A40-2059-863C;Taburet čtverec s úlož. prostor.;1003.000;
A40-220-724-H;Taburet univerzální;1003.000;
A40-228-P;Taburet univerzální;1003.000;
A40-2301-2309;Taburet univerzální,nožky S světlá;1003.000;
A40-2303;Taburet univerzální;1003.000;
A40-2304;Taburet univerzální;1003.000;
A40-2310;Taburet univerzální;1003.000;
A40-2311;Taburet univerzální;1003.000;
A40-2314;Taburet univerzální;1003.000;
A40-2314;Taburet univerzální 40x40;1003.000;
A40-2315-P;Taburet univerzální nogi- natural;1003.000;
A40-2322;Taburet univerzální;1003.000;
A40-2323;Taburet univerzální nožky k A63;1003.000;
A40-2323-2325;Taburet čtverec s úlož. prostor.;1003.000;
A40-2323-R;Taburet univerzální nožky k A63;1003.000;
A40-2324;Taburet univerzální nožky k A63;1003.000;
A40-2325;Taburet univerzální;1003.000;
A40-2326;Taburet univerzální;1003.000;
A40-2328;Taburet univerzální;1003.000;
A40-233;Taburet univerzální;1003.000;
A40-2330;Taburet univerzální;1003.000;
A40-2333-2330;Taburet univerzální;1003.000;
A40-234;Taburet univerzální- nogi wenge;1003.000;
A40-2501-1308;Taburet univerzální;1003.000;
A40-2501-2326;Taburet univerzální;1003.000;
A40-2502-P;Taburet univerzální nogi- natural;1003.000;
A40-2503;Taburet univerzální nožky k A63;1003.000;
A40-343;Taburet univerzální- nogi HNěDé;1003.000;
A40-4080C;Taburet čtverec s úlož. prostor.;1003.000;
A40-4089C;Taburet čtverec s úlož. prostor.;1003.000;
A40-4352C;Taburet čtverec s úlož. prostor.;1003.000;
A40-711;Taburet čtverec s úlož. prostor.;1003.000;
A40-722-724;Taburet čtverec s úlož. prostor.;1003.000;
A40-724-723-H;Taburet univerzální;1003.000;
A40-725-723;Taburet univerzální;1003.000;
A40-725-723-W;Taburet univerzální;1003.000;
A40-729-715C;Taburet čtverec s úlož. prostor.;1003.000;
A40-730;Taburet čtverec s úlož. prostor.;1003.000;
A40-731-730-W;Taburet univerzální;1003.000;
A40-K1214;Taburet čtverec, čalounění K1214;1003.000;
A40-K40;Taburet univerzální;1003.000;
A40-K43;Taburet čtverec, čalounění K43;1003.000;
A41-01;Taburet čtverec s úlož. prostor., VZOR;1593.000;
A41-02;Taburet čtverec s úlož. prostor., čal.02;1593.000;
A41-106;Taburet univerzální;1593.000;
A41-13;Taburet čtverec s úlož. prostor., čal.13;1593.000;
A41-1305;Taburet univerzální;1593.000;
A41-1310;Taburet univerzální;1593.000;
A41-134;Taburet univerzální;1593.000;
A41-136;Taburet univerzální;1593.000;
A41-229;Taburet univerzální;1593.000;
A41-2305;Taburet univerzální;1593.000;
A41-2306;Taburet univerzální;1593.000;
A41-2323-2326;Taburet univerzální;1593.000;
A41-2326;Taburet univerzální;1593.000;
A41-2328;Taburet univerzální;1593.000;
A41-2501-2326;Taburet univerzální;1593.000;
A41-4083C;Taburet čtverec s úlož. prostorem;1593.000;
A41-721-W;Taburet univerzální-nogi wenge;1593.000;
A41-723;Taburet univerzální;1593.000;
A41-724;Taburet univerzální;1593.000;
A41-96;Taburet čtverec s úlož. prostor.,;1593.000;
D108-BB;Věšák krátký;163.800;
R30-710;Sedák křesla;1153.950;
R30-CH-710;Křeslo chromové;2089.500;
A41-K38;Taburet čtverec s úlož. prostor.,čal.K38;1593.000;
P161-510-515;Pohovka dvojka Jakub - rozkládací;5843.000;
A019-574-VL;Sedací souprava MICHELLE;12148.000;
A64-509-508-VP;Sedací souprava CLAUDIA;15518.000;
R27-L-2051;Křeslo pohupovací;2623.950;
R27-W-134;Křeslo pohupovací;2623.950;
R21-W-134;Podnožka;593.250;
R33-W-134;Křeslo houpací;1627.500;
Z123-W-342;Židle LýDIE;1143.450;
OS120-MO;Sestava policová variabilní;5855.860;
A43-04;Taburet obdélník, čal.04;1973.000;
Z72-W-722;Židle ANETA;934.500;
TEM-10017056;ALAN VĚŠÁK DR-6-664 SŤŘ. + BUK;0.000;
Z517-W-4091C;Židle  VERONIKA;628.950;
Z21-H-134;Židle PAVLÍNA;609.000;
Z103-W-2502;Židle buková LENKA;854.550;
B459-PO;Postel 180x200cm, masiv smrk;3838.800;
Z91-DS-2054;Židle AMÁLIE;1071.070;
Z117-DB-227;Židle buková LEONA;1071.070;
Z519-P;Kostra židle APOLENKA;339.000;
A46-01;Křeslo VELVET - VZOR;2932.000;
A46-2310;AKCE-Křeslo VELVET;2665.000;
A46-232;AKCE-Křeslo VELVET;2665.000;
A46-244;AKCE-Křeslo VELVET;2665.000;
X-POVLECENI-TIS;Povlečení krep 140x200;0.000;
X-UTERKA-BA;utěrka BA UNI vzorovaná;0.000;
K133-S-atyp;Konf. stůl ALBERT čtverec 70x70-v-45cm;1258.740;
Z132-CA-2305;Židle OLIVA;2809.920;
Z21-P-1344;Židle PAVLÍNA;609.000;
A019-2313-VP;Sedací souprava MICHELLE;12148.000;
C145-CER-atyp;Rohová knihovna CASPER-výška 170cm;4640.000;
A63-01-P;VZOR Sedací souprava RAVENA;11558.000;
A63-1301-1310;Sedací souprava RAVENA;11558.000;
A63-1302-342;Sedací souprava RAVENA;11558.000;
A63-1303-1303;Sedací souprava RAVENA;11558.000;
A63-1303-716C;Sedací souprava RAVENA;11558.000;
A63-1304-1300;Sedací souprava RAVENA;11558.000;
A63-1304-1304;Sedací souprava RAVENA;11558.000;
A63-1305-717C;Sedací souprava RAVENA;11558.000;
A63-1306-1308;Sedací souprava RAVENA;11558.000;
A63-1306-341;Sedací souprava RAVENA;11558.000;
A63-1307-1307;Sedací souprava RAVENA;11558.000;
A63-132-133;Sedací souprava RAVENA;11558.000;
P016-550-530;Pohovka PARMA;7708.000;
A63-136-136;Sedací souprava RAVENA;11558.000;
B435-P-90-ATYP;Postel MARCELKA-BEZ PŘEDNÍ ZÁBRANY;4295.000;
A63-2051;Sedací souprava RAVENA;11558.000;
A63-2052;Sedací souprava RAVENA;11558.000;
A63-2052-2080;Sedací souprava RAVENA;11558.000;
A63-2057-2081;Sedací souprava RAVENA;11558.000;
A63-2059-1301;Sedací souprava RAVENA;11558.000;
A63-2059-2052;Sedací souprava RAVENA;11558.000;
A63-222-342;Sedací souprava RAVENA;11558.000;
A63-2314-2315-L;AKCE-Sed.souprava RAVENA(polštáře 343);10507.440;
A63-2314-712;Sedačka rozkl.,úl.prostor,variabilní/2ks;11558.000;
A63-2315-343;Sedací souprava RAVENA;11558.000;
A63-2322-2324-P;Sedací souprava RAVENA;11558.000;
A63-2325-2323;Sedačka rozkládací,úl.prostor,variabilní;11558.000;
A63-2326-2323;Sedačka rozkládací,úl.prostor,variabilní;11558.000;
A63-2328-863C-L;Sedací souprava RAVENA, polštáře 863C;11558.000;
A63-234;Sedačka rozkládací,úl.prostor,variabilní;11558.000;
A63-234-1306;Sedačka rozkládací,úl.prostor,variabilní;11558.000;
R47-DS-132;Křeslo pohupovací,kostra pohup.pevná;2572.500;
A63-2501-1306;Sedací souprava RAVENA;11558.000;
A63-722-340;Sedací souprava RAVENA;11558.000;
A63-723-716C;Sedací souprava RAVENA;11558.000;
A63-723-L;AKCE-Sed.souprava RAVENA polštáře 716C;10507.440;
Z72-DB-2052;Židle ANETA;934.500;
R26-2325-2326-A;Sedák trojkřesla;4798.500;
R26-L-A;Trojkřeslo;7738.500;
C550-DB-ATYP;Police 120cm sestavy Office-výška 10cm;535.500;
B475-PO;Zásuvka pod postel - masiv smrk;1258.800;
R22-513;Sedák křesla;489.300;
R22-582;Sedák křesla;489.300;
R22-537;Sedák křesla;489.300;
R23-533;Sedák křesla;1522.500;
R23-610;Sedák křesla;1522.500;
R23-612;Sedák křesla;1522.500;
R23-578;Sedák křesla;1522.500;
R23-603;Sedák křesla;1522.500;
R23-559;Sedák křesla;1522.500;
A63-724-722;Sedací souprava RAVENA;11558.000;
A63-725-864C;Sedací souprava RAVENA;11558.000;
A63-726-32;Sedací souprava RAVENA;11558.000;
A63-729-2055;Sedací souprava RAVENA;11558.000;
A63-729-730-341;Sedací souprava RAVENA;11558.000;
A63-730-2081;Sedací souprava RAVENA;11558.000;
A63-730-718C;Sedací souprava RAVENA;11558.000;
A63-732-340;Sedací souprava RAVENA;11558.000;
A32-711-711;Křeslo ušák - KENT;4722.000;
A32-711-712;Křeslo ušák - KENT;4722.000;
A32-711-721;Křeslo ušák - KENT;4722.000;
A32-712-2326;Křeslo ušák - KENT;4722.000;
A32-715C-722;Křeslo ušák - KENT;4722.000;
A32-717C-726;Křeslo ušák - KENT;4722.000;
A32-722-722;Křeslo ušák - KENT;4722.000;
A32-723-2305;Křeslo ušák - KENT;4722.000;
A32-723-723;Křeslo ušák - KENT;4722.000;
A32-724-724;Křeslo ušák - KENT;4722.000;
A32-727-727;Křeslo ušák - KENT;4722.000;
A32-731;Křeslo ušák - KENT;4722.000;
A32-732-340;Křeslo ušák - KENT;4722.000;
R50-P-2058;Křeslo chromové,područky přírodní;1950.000;
R52-T-723;Křeslo pohupovací,kostra pohup.pevné;2774.490;
A04-1301-VL;Sedačka rozkládací;10357.000;
Z124-H-722;Židle LUCIE;1249.500;
Z124-H-722-715C;Židle LUCIE;1249.500;
R22-P-2054;Křeslo pohupovací;1627.500;
R35-M-1300;Křeslo pohupovací,kostra pohup.oblá;2572.500;
R23-L-1301;Křeslo pohupovací;2572.500;
R21-P-236;Podnožka;593.250;
Z91-T-132;Židle AMÁLIE;1285.120;
K132-BB;Konf. stůl KLEMENT obdélník;1510.740;
A35-03;Křeslo otočné;3690.000;
A35-04;Křeslo otočné;3690.000;
R24-T-2330;Houpací křeslo;3139.500;
C542-BB;Stůl 150x70 sestavy Office;1499.400;
S93-SC;Jídelní stůl MDF,lesk ROLAND;6835.000;
A36-01-01;VZOR Křeslo GENOVA;2984.000;
A36-04;AKCE-Křeslo GENOVA;2713.000;
D008-P;Botník výklopný trojřadý;1459.500;
R23-463;Sedák křesla-látka Čína;1522.500;
A36-1300-1303;Křeslo;2984.000;
A36-1302-1300;Křeslo;2984.000;
A36-1303;Křeslo;2984.000;
A36-1305-1304;Křeslo;2984.000;
A36-1307;Křeslo;2984.000;
A36-132-133;Křeslo;2984.000;
A36-133-133;Křeslo;2984.000;
A36-136;Křeslo GENOVA;2984.000;
A36-2059-139;AKCE-Křeslo GENOVA;2713.000;
A36-2302;Křeslo GENOVA;2984.000;
A36-2304-1302;Křeslo;2984.000;
A36-2307;Křeslo GENOVA;2984.000;
A36-2311;Křeslo GENOVA;2984.000;
A36-2315;Křeslo;2984.000;
A36-2323;Křeslo GENOVA;2984.000;
A36-2325;Křeslo GENOVA;2984.000;
A36-2326-2326;Křeslo GENOVA;2984.000;
A36-244-1341;AKCE-Křeslo GENOVA;2713.000;
A36-2501;Křeslo GENOVA;2984.000;
C540-DB;Kontejner na zámek sestavy Office;2625.000;
A36-721-710;Křeslo;2984.000;
A37-01;Křeslo PARMA VZOR;3444.000;
A37-03-03;Křeslo PARMA;3444.000;
Z132-P-863C;Židle OLIVA;2341.500;
Z127-P-atyp;Židle BLANKA- vlastní látka;1342.950;
A37-1300;Křeslo;3444.000;
A37-1300-1303;Křeslo PARMA;3444.000;
A37-1302;Křeslo;3444.000;
A37-1303-1300;Křeslo PARMA;3444.000;
A37-1303-1302;Křeslo PARMA;3444.000;
A37-1304;Křeslo PARMA;3444.000;
Z02-D-232;Židle dubová BESI čaloun.;1350.000;
A37-1307;Křeslo PARMA;3444.000;
R21-M-2332;Podnožka;593.250;
A37-132-132;Křeslo PARMA;3444.000;
A37-132-133;Křeslo PARMA;3444.000;
D44-HEB-atyp;Věšáková stěna;3559.500;
A37-133-133;Křeslo PARMA;3444.000;
R39-L-1303;Křeslo pohupovací,kostra pohup.s vlnou;2572.500;
Z72-DS-130;Židle ANETA;934.500;
A37-135-135;Křeslo PARMA;3444.000;
A37-136-136;Křeslo PARMA;3444.000;
R49-P-1341;Křeslo chromové, područky přírodní;2325.000;
B432-HROR-90;Dvojpostel LUCINKA,smrk masiv;6005.000;
A37-201-723;AKCE-Křeslo PARMA;3131.200;
A37-2050-1300;Křeslo;3444.000;
A37-2050-1303;Křeslo PARMA;3444.000;
A37-2051-136;Křeslo PARMA;3444.000;
A37-2052-2080;Křeslo;3444.000;
A37-2054-2051;Křeslo;3444.000;
A37-220-1301;Křeslo;3444.000;
A37-222-1301;Křeslo;3444.000;
A37-2301-1301;Křeslo;3444.000;
A37-2303-2304;Křeslo;3444.000;
A37-2306-ATYP;Křeslo-2306-864C;3444.000;
A37-2321-2325;Křeslo PARMA;3444.000;
A37-2322;Křeslo PARMA;3444.000;
A37-2323-1304;Křeslo PARMA;3444.000;
A37-2324-2325;Křeslo PARMA;3444.000;
A37-2326;Křeslo PARMA;3444.000;
A37-2328-ATYP;Křeslo;3444.000;
A37-2331;Křeslo;3444.000;
A37-2333;Křeslo;3444.000;
A37-243-727;AKCE-Křeslo PARMA;3131.200;
A37-244;Křeslo;3444.000;
A37-244-2332;Křeslo PARMA;3444.000;
A37-246;Křeslo PARMA;3444.000;
A37-2502-2325;Křeslo PARMA;3444.000;
A37-721-723;Křeslo PARMA;3444.000;
A37-723;Křeslo PARMA;3444.000;
A37-723-2326;Křeslo PARMA;3444.000;
A37-723-725;Křeslo PARMA;3444.000;
A37-725-711;Křeslo PARMA;3444.000;
A37-725-723;Křeslo PARMA;3444.000;
A37-725-725;Křeslo PARMA;3444.000;
A37-726-864C;Křeslo PARMA;3444.000;
A37-727-861C;Křeslo PARMA;3444.000;
A37-729-727;Křeslo;3444.000;
A37-729-730;Křeslo;3444.000;
A37-729-864C;Křeslo PARMA;3444.000;
A37-730-730;Křeslo;3444.000;
A37-atyp;Křeslo;3444.000;
A37-ATYP-;Křeslo;3444.000;
A37-ATYP-BAWA.;Křeslo;3444.000;
A37-CITY;Křeslo;3444.000;
A37-CRAZY-ASPEN;Křeslo;3444.000;
A38-01;Taburet Parma/A40/ VZOR;1140.000;
A38-02;Taburet Parma/A40/;1140.000;
A38-04-02;Taburet Parma/A40/;1140.000;
A38-05;Taburet Parma/A40/;1140.000;
A38-115;Taburet Parma/A40/;1140.000;
A38-1304;Taburet Parma/A40/;1140.000;
A38-1306-ASPEN;Taburet Parma/A40/;1140.000;
A38-1307;Taburet Parma/A40/;1140.000;
A38-1308-1354;Taburet Parma/A40/;1140.000;
A38-1309;Taburet Parma/A40/;1140.000;
A38-133-133;Taburet Parma/A40/;1140.000;
A38-136-134;Taburet Parma/A40/;1140.000;
A38-136-136;Taburet Parma/A40/;1140.000;
A38-136-721;Taburet Parma/A40/;1140.000;
A38-136-731;Taburet Parma/A40/;1140.000;
A38-137-133;Taburet Parma/A40/;1140.000;
A38-139;Taburet Parma/A40/;1140.000;
A38-201-723;AKCE-Taburet Parma/A40/;1036.450;
A38-2053;Taburet Parma/A40/;1140.000;
A38-2053-2082;Taburet Parma/A40/;1140.000;
A38-2080-726;Taburet Parma/A40/;1140.000;
A38-220-1303;Taburet Parma/A40/;1140.000;
A38-220-1307;Taburet Parma/A40/;1140.000;
A38-221;Taburet Parma/A40/;1140.000;
A38-222-1303;Taburet Parma/A40/;1140.000;
A38-227-1303;Taburet Parma/A40/;1140.000;
A38-2321-2325;Taburet Parma/A40/;1140.000;
A38-2323-1304;Taburet Parma/A40/;1140.000;
A38-2323-2326;Taburet Parma/A40/;1140.000;
A38-2326;Taburet Parma/A40/;1140.000;
A38-232-730;Taburet Parma/A40/;1140.000;
A38-244;Taburet Parma/A40/;1140.000;
A38-723;Taburet Parma/A40/;1140.000;
A38-724-723;Taburet Parma/A40/;1140.000;
A38-724-724;Taburet Parma/A40/;1140.000;
A38-725-136;Taburet Parma/A40/;1140.000;
A38-728;Taburet Parma/A40/;1140.000;
A38-atyp;Taburet Parma/A40/;1140.000;
A38-CRAZY;Taburet Parma/A40/;1140.000;
A39-01;Taburet Parma větší/A41/;1832.000;
A39-01-01;Taburet Parma větší/A41/ VZOR;1832.000;
A39-03-2328;Taburet Parma větší/A41/;1832.000;
A39-115;Taburet Parma větší/A41/;1832.000;
A39-1304-1305;Taburet Parma větší/A41/;1832.000;
A39-132-133;Taburet Parma větší/A41/;1832.000;
A39-201-723;AKCE-Taburet Parma větší/A41/;1665.350;
A39-2054-2051;Taburet Parma větší/A41/;1832.000;
A39-2057;Taburet Parma větší/A41/;1832.000;
A39-2302-2307-A;Taburet Parma větší/A41/nozki hranate;1832.000;
A39-2314-1308;Taburet Parma větší/A41/;1832.000;
A39-243-727;AKCE-Taburet Parma větší/A41/;1665.350;
A39-244;Taburet Parma větší/A41/;1832.000;
A39-244-2332;Taburet Parma větší/A41/;1832.000;
A39-2507;Taburet Parma větší/A41/;1832.000;
A39-721-723;Taburet Parma větší/A41/;1832.000;
A39-730-730;Taburet Parma větší/A41/;1832.000;
A39-ATYP-BAW.;Taburet Parma větší/A41/;1832.000;
A39-CRAZY;Taburet Parma větší/A41/;1832.000;
A40-01;Taburet univerzální 40x40 - VZOR;1003.000;
A40-02;Taburet univerzální;1003.000;
A40-03;Taburet čtverec s úlož. prostor., čal.03;1003.000;
A40-04;Taburet čtverec s úlož. prostor., čal.04;1003.000;
A40-05;Taburet čtverec s úlož. prostor., čal.05;1003.000;
Z71-CA-130;Židle ŽOFIE;1219.830;
A40-130;Taburet univerzální;1003.000;
A40-1300;Taburet univerzální;1003.000;
A40-1300-1341;Taburet univerzální;1003.000;
A40-1300-H;Taburet univerzální;1003.000;
A40-1301;Taburet univerzální;1003.000;
A40-1302;Taburet univerzální;1003.000;
5004;Lamino - tmavý ořech 452 PR;0.000;
A258-2058-2056L;Sedací souprava rohová;14286.000;
A258-2321-2325P;Sedací souprava rohová;14286.000;
A258-244-246-L;AKCE-Sedací souprava rohová  FIORI;12987.000;
A258-249-2304-P;AKCE-Sedací souprava rohová  FIORI;12987.000;
A258-2501-2504L;AKCE-Sedací souprava rohová  FIORI;12987.000;
R18-H-2051;Křeslo;2572.500;
A26-02;Křeslo, čal.02;4189.500;
Z75-P-2054;Židle EVA;962.810;
Z65-T-1302;Židle SÁRA;1247.110;
Z351-DS-2307;Židle buková BITA;1024.330;
A28-01;Křeslo;3025.000;
A28-01;VZOR Křeslo  NORA;3025.000;
B741-P- atyp;Psací stůl rohový,smrk, opačný roh;3561.600;
Z42-T-133;Židle MARIE;1121.490;
A64-01-P;VZOR Sedací souprava CLAUDIA;15518.000;
A64-1302-1303-L;Sedací souprava CLAUDIA;15518.000;
A64-1303-1300-L;Sedací souprava CLAUDIA;15518.000;
A64-1303-1302-L;Sedací souprava CLAUDIA;15518.000;
A64-1303-1304-A;Sedací souprava CLAUDIA-ATYP;15518.000;
A64-1303-L;Sedací souprava CLAUDIA;15518.000;
A64-1304-1303-L;Sedací souprava CLAUDIA;15518.000;
A64-1304-1303-P;Sedací souprava CLAUDIA;15518.000;
A64-1304-L;Sedací souprava CLAUDIA;15518.000;
A64-1304-VP;Sedací souprava CLAUDIA;15518.000;
A28-01-CA;Křeslo;3025.000;
A28-02;Křeslo;3025.000;
A28-03;Křeslo;3025.000;
A28-04;Křeslo;3025.000;
R42-P-4301C;Křeslo pohupovací,kostra pohup.oblouk;1627.500;
A111-L-726;Křeslo TIVOLI - VZOR;3561.000;
P017-726-L;Pohovka TIVOLI;7362.000;
K128-MO;Konf. stůl ŠIMON čtverec;1384.740;
A28-1301;Křeslo;3025.000;
A28-1306;Křeslo;3025.000;
A28-1308;Křeslo;3025.000;
A282-133-VP;Pohovka LAILA rohová s rozkl.a úl.prost.;16804.000;
A282-136-VL;Pohovka LAILA rohová s rozkl.a úl.prost.;16804.000;
A282-2055-VL;Pohovka LAILA rohová s rozkl.a úl.prost.;16804.000;
A28-222;Křeslo;3025.000;
A282-2304-VP;Pohovka LAILA rohová s rozkl.a úl.prost.;16804.000;
A28-228;Křeslo;3025.000;
A28-230;Křeslo;3025.000;
A28-2304;Křeslo;3025.000;
A28-2305;Křeslo;3025.000;
A28-2306;Křeslo;3025.000;
A28-2315;Křeslo;3025.000;
A28-2321;Křeslo;3025.000;
A28-2322;Křeslo  NORA;3025.000;
A28-2323;AKCE-Křeslo NORA;2750.000;
A28-2323;Křeslo;2089.500;
A28-2323;Křeslo;3025.000;
A28-2329;Křeslo;3025.000;
A28-2334;Křeslo;3025.000;
A28-234;Křeslo;3025.000;
A28-234;AKCE-Křeslo NORA;2750.000;
A28-236;Křeslo;3025.000;
A28-238;Křeslo;3025.000;
A282-H-133-P;AKCE-Pohovka LAILA rohová;15276.030;
A282-H-133-VL;AKCE-Pohovka LAILA rohová;15276.030;
A282-H-201-L;AKCE-Pohovka LAILA rohová;15276.030;
A282-H-2328-L;Pohovka LAILA rohová VZOR;16804.000;
A282-P-01-P;Pohovka LAILA rohová VZOR;16804.000;
C106-CEZ-atyp;Skříň velká CASPER- šíře 120cm;3590.000;
A283-130-L-VL;Pohovka BENITO rohová s boky,rozklad;16200.000;
P55-133;Křeslo BONDY;4483.000;
Z75-HE-130;Židle EVA;962.810;
R51-DS-1300;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R21-M-715C;Podnožka;593.250;
R47-M-715C;Křeslo pohupovací,kostra pohup.pevná;2572.500;
Z65-CA-1300;Židle SÁRA;1039.500;
Z133-H-2304;Židle JOKO čalouněná;1814.050;
A28-4302C;Křeslo;3025.000;
R50-H-1302;Křeslo chromové,područky hnědá;1950.000;
R43-T-559;Křeslo pohupovací,kostra pohup.oblouk;2572.500;
P250-201-723;Trojkřeslo rozkládací ANTONY;9090.000;
P150-201-723-H;Dvojkřeslo rozkládací ANTONY;8514.000;
R34-DB-1308;Křeslo pohupovací,kostra pohup.oblá;1627.500;
R22-232;Sedák křesla;489.300;
R17-L-232;Křeslo pohupovací;1627.500;
A28-721;Křeslo;3025.000;
S160-B;Jídelní stůl;2355.150;
S131-160-B;Jídelní stůl ZBYNĚK;2507.400;
Z104-H-711;Židle buková LILIANA;766.500;
A28-727;Křeslo;3025.000;
A28-728;Křeslo;3025.000;
A29-61;Křeslo poloh. II.jakost;5248.950;
A29-61;Křeslo poloh. II.jakost;5248.950;
P023-H-248;Pohovka LAILA 3 sed.;8399.000;
A29-62;Křeslo poloh.II.jakost, čal.62;5248.950;
01;Potahová látka zelená;156.450;
A29-62;Křeslo poloh.II.jakost, čal.62;5248.950;
S519-P;Mini stůl KARLÍK;990.000;
A29-63;Křeslo polohovací, čal.63 oranžová;5248.950;
CV02;Věšák - vysoký, barevný, 178 cm;471.000;
A29-63;Křeslo polohovací, čal.63 oranžová;5248.950;
A85-NOV;Pohovka LEON rozklád.postel,novin.vzor;1206.000;
S14-L;Jídelní stůl rozkládací ROBIN;2940.000;
Z75-L-724;Židle EVA;962.810;
A301-51-VL;Sedací souprava FORLI bez křesla;26239.500;
S184-140-H;Jídelní stůl VERDI/140x80+40cm/;5417.000;
R51-P-2330;Křeslo pohupovací,kostra pohup.pevné;2243.250;
Z102-H-221;Židle buková GIZELA;1039.500;
A303-51-VP;Sedací souprava OLBIA bez křesla;26239.500;
S19-H-atyp;Jídelní stůl BOHUMIL rozkládací /2ks/;4095.000;
A303-52-VL;Sedací souprava OLBIA bez křesla;26239.500;
R51-L-726;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R43-S-1306;Křeslo pohupovací,kostra pohup.oblouk;2572.500;
R21-T-716C;Podnožka;593.250;
A32-01-01;Křeslo ušák - KENT - VZOR;4722.000;
A32-02;Křeslo ušák - KENT;4722.000;
A32-03-02;Křeslo ušák - KENT;4722.000;
C106-ATYP-CEZ;Skříň (místo tyčí police+4xpolice delší;3590.000;
A32-1300-1300;Křeslo ušák - KENT;4722.000;
A32-1301-1301;Křeslo ušák - KENT;4722.000;
A32-1301-1301;Křeslo ušák - KENT;4722.000;
A32-1301-1302;Křeslo ušák - KENT;4722.000;
A32-1301-1303;Křeslo ušák - KENT;4722.000;
A32-1301-1305;Křeslo ušák - KENT;4722.000;
A32-1301-2327;Křeslo ušák - KENT;4722.000;
A32-130-133;Křeslo ušák - KENT;4722.000;
A32-1302;Křeslo ušák - KENT;4722.000;
A32-1302-1310;Křeslo ušák - KENT;4722.000;
A32-1303-1303;Křeslo ušák - KENT;4722.000;
A32-1303-1310;Křeslo ušák - KENT;4722.000;
A32-1304-1300;Křeslo ušák - KENT;4722.000;
A32-1304-1303;Křeslo ušák - KENT;4722.000;
A32-1304-2323;Křeslo ušák - KENT;4722.000;
A32-1304-2326;Křeslo ušák - KENT;4722.000;
A32-1305-atyp;Křeslo ušák -pouze  polštářek;260.000;
A32-1306-1300;Křeslo ušák - KENT;4722.000;
A32-1307;Křeslo ušák - KENT;4722.000;
A32-1307-1308;Křeslo ušák - KENT;4722.000;
A32-1308;Křeslo ušák - KENT;4722.000;
A32-1309-1310;Křeslo ušák - KENT;4722.000;
A32-1309-4301C;AKCE-Křeslo ušák - KENT;4292.560;
A32-1309-4301C;AKCE-Křeslo ušák - KENT;4292.560;
A32-132;Křeslo ušák - KENT;4722.000;
A32-132-03;Křeslo ušák - KENT;4722.000;
A32-133-133;Křeslo ušák - KENT;4722.000;
A32-134;Křeslo ušák - KENT;4722.000;
A32-1341-2302;Křeslo ušák - KENT;4722.000;
A32-1341-2306;Křeslo ušák - KENT;4722.000;
A32-1341-2324;Křeslo ušák - KENT;4722.000;
A32-1341-2324;AKCE-Křeslo ušák - KENT;4292.560;
A32-1341-2334;Křeslo ušák - KENT;4722.000;
A32-1344;Křeslo ušák - KENT;4722.000;
A32-1344-1304;Křeslo ušák - KENT;4722.000;
A32-1344-1341;Křeslo ušák - KENT;4722.000;
A32-1344-2054;Křeslo ušák - KENT;4722.000;
